[ASSETS]
Resource\Worldmap\mario_world.txt
Resource\Worldmap\grass.txt
Resource\Worldmap\help.txt
Resource\Worldmap\koopa_world.txt
Resource\Worldmap\door.txt
hud.txt
platform.txt
[TILEMAP]
Resource\Tilemaps\world_map.txt
[OBJECTS]

#grass
16	16	16
16	32	16
16	48	16
16	16	32
16	32	32
16	48	32

16	16	64
16	32	64
16	48	64
16	16	80
16	32	80
16	48	80
16	16	96

16	80	32
16	96	32
16	112	32
16	80	48
16	96	48
16	112	48
16	80	64
16	96	64
16	112	64

16	144	32
16	160	32
16	176	32

16	208	16
16	224	16
16	208	32
16	224	32
16	208	48
16	224	48

16	144	64
16	160	64
16	176	64
16	192	64
16	208	64
16	224	64

16	144	80
16	160	80

16	96	96
16	112	96
16	128	96

16	224	80
16	224	96
16	224	112
16	224	128
16	224	144

#help
19	208	96

################# DOOR #############
#SPECIAL
20	128	80	10
#START
20	32	48	0
#1->6
20	64	16	1
20	128	16	2
20	160	16	3
20	160	48	4
20	64	144	5
20	128	144	6
#############Gosh box###########
#RIGHT
17	0	0
17	0	17
17	0	34
17	0	51
17	0	68
17	0	85
17	0	102
17	0	119
17	0	136
17	0	153
#BOTTOM
17	17	161
17	34	161
17	51	161
17	68	161
17	85	161
17	102	161
17	119	161
17	136	161
17	153	161
17	170	161
17	187	161
17	204	161
17	221	161
#TOP
17	17	0
17	34	0
17	51	0
17	68	0
17	85	0
17	102	0
17	119	0
17	136	0
17	153	0
17	170	0
17	187	0
17	204	0
17	221	0
17	238	0
#LEFT
17	241	17
17	241	34
17	241	51
17	241	68
17	241	85
17	241	102
17	241	119
17	241	136
17	241	153
#IN MAP
17	213	17
17	17	18
17	34	18
17	51	18

17	149	33
17	166	33
17	183	33
17	213	33
17	81	33
17	98	33
17	115	33

17	17	35
17	34	35
17	51	35

17	213	50
17	81	50
17	115	50

17	81	65
17	98	65
17	115	65
17	145	65
17	166	65
17	183	65
17	200	65

17	16	67
17	33	67
17	51	67

17	145	84
17	51	84

17	98	97
17	115	97
17	81	97
17	132	97

17	149	101
17	166	101
17	183	101
17	51	101

17	81	112
17	210	112

17	51	118

17	81	129
17	98	129
17	115	129
17	145	129
17	162	129
17	179	129
17	196	129

17	51	135

17	145	146

#Koopa
18	130	112
#MARIO
15	32	50.5






