# id	left	top	right	bottom	texture_id
[SPRITES]
#flower_in_card
60115	260	394	275	409	163
#mushroom_in_card
60116	278	394	293	409	163
#star_in_card
60117	296	394	311	409	163

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
#card box
11335	60115	100
11336	60116	100
11337	60117	100

#backgournd__black
102	101	100

#table_hud
101	100	100

#arrow_power
51	50	100

#power_M
41	40	100

#power_P
61	60	100	61	100

#point
12	10	100
11	1	100
21	2	100
31	3	100
41	4	100
51	5	100
61	6	100
71	7	100
81	8	100
91	9	100




