# id	left	top	right	bottom	texture_id
[SPRITES]
#####  BIG ###############
#IDLE
11121	246	154	259	181	0
11111	186	154	199	181	0

#WALKING RIGHT
11222	275	154	290	181	0
11223	304	154	321	181	0

#WALKING LEFT
11212	155	154	170	181	0
11213	125	154	140	181	0

#RUNNING RIGHT
11321	334	154	355	181	0
11322	334	154	355	181	0
11323	392	154	413	181	0

#RUNNING LEFT
11311	91	154	112	181	0
11312	65	154	86	181	0
11313	34	154	55	181	0

#JUMP WALK RIGHT & LEFT
11417	395	275	412	302	0
11413	35	275	52	302	0

#JUMP RUN RIGHT & LEFT
11427	394	195	413	222	0
11423	35	195	52	222	0

#SIT RIGHT & LEFT 
11521	426	239	441	256	0
11511	5	239	20	256	0

#BRACE RIGHT & LEFT 
11621	425	154	442	181	0
11611	5	154	22	181	0

#DIE
13001	215	120	234	137	0

############ SMALL ################
 #IDLE
12121	247	0	260	15	0
12111	187	0	200	15	0

#WALK RIGHT
12222	275	0	292	15	0
12223	306	0	321	15	0

#WALK LEFT
12212	155	0	170	15	0
12213	125	0	140	15	0

#RUN RIGHT
12321	275	0	290	15	0
12322	306	0	321	15	0
12323	335	0	350	15	0

#RUN LEFT
12311	155	0	170	15	0
12312	125	0	140	15	0
12313	95	0	110	15	0

#BRACE RIGHT & LEFT
12511	6	0	19	15	0
12521	426	0	439	15	0

#JUMP WALK RIGHT & LEFT 
12413	35	80	50	95	0
12417	395	80	410	95	0

#JUMP RUN RIGHT & LEFT 
12423	65	40	80	55	0
12427	365	40	380	55	0



###################fire###################

#IDLE
13121	245	393	260	424	0
13111	185	393	200	424	0

#WALKING RIGHT
13222	275	393	290	424	0
13223	305	393	320	424	0

#WALKING LEFT
13212	155	393	170	424	0
13213	125	393	140	424	0

#RUNNING RIGHT
13321	334	393	355	424	0
13322	362	393	383	424	0
13323	392	393	417	424	0

#RUNNING LEFT
13311	94	393	115	424	0
13312	62	393	83	424	0
13313	32	393	53	424	0

#JUMP WALK RIGHT & LEFT
13417	395	515	412	542	0
13413	35	515	52	542	0

#JUMP RUN RIGHT & LEFT
13427	394	435	413	462	0
13423	35	435	52	462	0

#SIT RIGHT & LEFT 
13521	426	479	441	496	0
13511	5	479	20	496	0

#BRACE RIGHT & LEFT 
13621	425	393	442	424	0
13611	5	393	22	424	0





















# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
401	11121	100
400	11111	100

#WALKING RIGHT & LEFT 
501	11121	100	11222	100	11223	100
500	11111	100	11212	100	11213	100

#RUNNING RIGHT & LEFT
601	11321	50	11322	50	11323	50
600	11311	50	11312	50	11313	50

#JUMP WALK
701	11417	100
700	11413	100

#JUMP RUN
801	11427	100
800	11423	100

#SIT RIGHT & LEFT 
901	11521	100
900	11511	100

#BRACE RIGHT & LEFT 
1001	11621	100
1000	11611	100

#DIE
999	13001	100

################### SMALL #################
1101	12121	100
1100	12111	100


#WALK LEFT & RIGHT 
1201	12121	100	12222	100	12223	100
1200	12111	100	12212	100	12213	100

#RUN LEFT & RIGHT
1301	12321	100	12322	100	12323	100
1300	12311	100	12312	100	12313	100

#BRACE LEFT & RIGHT
1400	12511	100
1401	12521	100

#JUMP WALK
1501	12417	100
1500	12413	100

#JUMP RUN 
1600	12423	100
1601	12427	100

###########################fire ################
1701 	13121	100
1700	13111	100

#WALKING RIGHT & LEFT
1801	13121	100	13222	100	13223	100
1800	13111	100	13212	100	13213	100

#RUNNING RIGHT & LEFT
1901	13321	100	13322	100	13323	100
1900	13311	100	13312	100	13313	100

#JUMP WALK
2001	13417	100
2000	13413	100

#JUMP RUN
2101	13427	100
2100	13423	100

#SIT RIGHT & LEFT 
2201	13521	100
2200	13511	100

#BRACE RIGHT & LEFT 
2301	13621	100
2300	13611	100
