# id	left	top	right	bottom	texture_id
#font.png
[SPRITES]
#background_black
101	1124	462	1500	510	70

#table hud
100	3	3	234	30	140

#arrow_power
50	3	33	10	40	140

#power_M
40	8	43	23	48	140

#power_P
60	11	33	26	40	140
61	104	10	117	17	140

#point
10	33	31	40	40	140
1	43	31	50	40	140
2	53	31	60	40	140
3	63	31	70	40	140
4	73	31	80	40	140
5	83	31	90	40	140
6	93	31	100	40	140
7	103	31	110	40	140
8	113	31	120	40	140
9	123	31	130	40	140

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
##################### HUD IN PLAYER SCENE #######################
#backgournd__black
101	101	100

#table_hud
100	100	100

#arrow_power
50	50	100

#power_M
40	40	100

#power_P
60	60	100	61	100

#point
10	10	100
1	1	100
2	2	100
3	3	100
4	4	100
5	5	100
6	6	100
7	7	100
8	8	100
9	9	100

##################### HUD IN WORLD MAP SCENE #######################
#backgournd__black
102	101	100

#table_hud
101	100	100

#arrow_power
51	50	100

#power_M
41	40	100

#power_P
61	60	100	61	100

#point
12	10	100
11	1	100
21	2	100
31	3	100
41	4	100
51	5	100
61	6	100
71	7	100
81	8	100
91	9	100




